종명,접수일시,도로유형,도로명
고라니,2022-05-29,고속국도(재정),300
고라니,2022-05-29,고속국도(재정),251
고라니,2022-05-29,고속국도(재정),35
고라니,2022-05-29,고속국도(재정),1
고라니,2022-05-29,고속국도(재정),10
고라니,2022-05-29,고속국도(재정),15
고라니,2022-05-29,고속국도(재정),50
고라니,2022-05-29,고속국도(재정),30
오소리,2022-05-29,고속국도(재정),35
고라니,2022-05-29,고속국도(재정),55
고라니,2022-05-30,고속국도(재정),1
고라니,2022-05-30,고속국도(재정),55
고라니,2022-05-30,고속국도(재정),30
고라니,2022-05-30,고속국도(재정),27
고라니,2022-05-30,고속국도(재정),25
오소리,2022-05-30,고속국도(재정),151
고라니,2022-05-30,고속국도(재정),251
고라니,2022-05-31,고속국도(재정),65
고라니,2022-05-31,고속국도(재정),25
고라니,2022-05-31,고속국도(재정),1
고라니,2022-05-31,고속국도(재정),30
고라니,2022-05-31,고속국도(재정),15
고양이,2022-05-31,고속국도(재정),55
수리부엉이,2022-05-31,고속국도(재정),35
너구리,2022-05-31,고속국도(재정),12
미동정(조류),2022-05-31,고속국도(재정),40
고라니,2022-05-31,고속국도(재정),40
고라니,2022-06-01,고속국도(재정),35
사슴,2022-06-01,고속국도(재정),15
오소리,2022-06-01,고속국도(재정),55
고라니,2022-06-02,고속국도(재정),251
고라니,2022-06-02,고속국도(재정),12
고라니,2022-06-02,고속국도(재정),15
미동정(조류),2022-06-02,고속국도(재정),35
고양이,2022-06-03,고속국도(재정),1
미동정(포유류),2022-06-03,고속국도(재정),1
오소리,2022-06-03,고속국도(재정),55
미동정(조류),2022-06-03,고속국도(재정),55
고라니,2022-06-03,고속국도(재정),65
고라니,2022-06-03,고속국도(재정),15
고라니,2022-06-03,고속국도(재정),35
고라니,2022-06-04,고속국도(재정),55
오소리,2022-06-04,고속국도(재정),35
미동정(조류),2022-06-04,고속국도(재정),55
고라니,2022-06-04,고속국도(재정),1
고양이,2022-06-04,고속국도(재정),35
오소리,2022-06-04,고속국도(재정),1
고라니,2022-06-05,고속국도(재정),151
고라니,2022-06-05,고속국도(재정),30
고라니,2022-06-05,고속국도(재정),12
고라니,2022-06-05,고속국도(재정),37
고라니,2022-06-05,고속국도(재정),25
고양이,2022-06-06,고속국도(민자),32
고양이,2022-06-06,고속국도(재정),55
고라니,2022-06-06,고속국도(재정),30
고라니,2022-06-06,고속국도(재정),300
고라니,2022-06-06,고속국도(재정),55
고라니,2022-06-06,고속국도(재정),50
고라니,2022-06-07,고속국도(재정),55
고라니,2022-06-07,고속국도(재정),35
고라니,2022-06-07,고속국도(재정),25
오소리,2022-06-07,고속국도(재정),35
고라니,2022-06-07,고속국도(재정),1
고라니,2022-06-07,고속국도(재정),30
고라니,2022-06-07,고속국도(재정),15
고라니,2022-06-08,고속국도(재정),37
흰뺨검둥오리,2022-06-08,고속국도(재정),45
너구리,2022-06-08,고속국도(재정),110
고라니,2022-06-08,고속국도(재정),110
흰뺨검둥오리,2022-06-08,고속국도(재정),100
고라니,2022-06-08,고속국도(재정),1
고라니,2022-06-08,고속국도(재정),151
고라니,2022-06-08,고속국도(재정),40
고라니,2022-06-08,고속국도(재정),50
고라니,2022-06-09,고속국도(재정),100
고라니,2022-06-09,고속국도(재정),27
고라니,2022-06-09,고속국도(재정),151
고라니,2022-06-09,고속국도(재정),1
고라니,2022-06-09,고속국도(재정),37
고라니,2022-06-09,고속국도(재정),251
미동정(포유류),2022-06-09,고속국도(재정),35
고양이,2022-06-09,고속국도(재정),30
고라니,2022-06-09,고속국도(재정),25
미동정(포유류),2022-06-10,고속국도(재정),55
고라니,2022-06-10,고속국도(재정),1
고라니,2022-06-10,고속국도(재정),30
고라니,2022-06-10,고속국도(재정),55
고라니,2022-06-10,고속국도(재정),40
고양이,2022-06-10,고속국도(재정),110
고라니,2022-06-10,고속국도(재정),100
고라니,2022-06-10,고속국도(재정),35
고양이,2022-06-10,고속국도(재정),15
고라니,2022-06-11,고속국도(재정),30
고라니,2022-06-11,고속국도(재정),50
고라니,2022-06-11,고속국도(재정),55
고라니,2022-06-12,고속국도(재정),25
고라니,2022-06-12,고속국도(재정),55
고라니,2022-06-12,고속국도(재정),60
고라니,2022-06-12,고속국도(재정),30
고라니,2022-06-12,고속국도(재정),1
고라니,2022-06-12,고속국도(재정),12
고라니,2022-06-13,고속국도(재정),1
고라니,2022-06-13,고속국도(재정),15
고라니,2022-06-13,고속국도(재정),55
수달,2022-06-13,고속국도(재정),12
고양이,2022-06-13,고속국도(재정),110
고양이,2022-06-13,고속국도(재정),100
노루,2022-06-13,고속국도(재정),65
고라니,2022-06-14,고속국도(재정),50
